slug,symbol,name,date,ranknow,open,high,low,close,volume,market_price,close_ratio,spread
ethereum,ETH,Ethereum,9/14/2015,3,0.940566,0.949387,0.87176,0.875622,741085,64084135,0.0498,0.08
ethereum,ETH,Ethereum,9/15/2015,3,0.875189,1.05,0.875189,0.94441,703390,69141409,0.396,0.17
ethereum,ETH,Ethereum,9/16/2015,3,0.941977,0.952698,0.901639,0.907175,615593,66437873,0.1084,0.05
ethereum,ETH,Ethereum,9/17/2015,3,0.906865,0.909204,0.831132,0.874231,897940,64046216,0.552,0.08
ethereum,ETH,Ethereum,9/18/2015,3,0.874574,0.888102,0.833908,0.853685,484622,62561883,0.3649,0.05
ethereum,ETH,Ethereum,9/19/2015,3,0.849603,0.911883,0.833784,0.882391,386988,64687992,0.6224,0.08
ethereum,ETH,Ethereum,9/20/2015,3,0.881191,0.947741,0.873205,0.938445,508314,68822183,0.8753,0.07
ethereum,ETH,Ethereum,9/21/2015,3,0.941496,0.957326,0.878301,0.919047,424039,67422915,0.5156,0.08
ethereum,ETH,Ethereum,9/22/2015,3,0.919337,0.919337,0.865225,0.901796,487914,66180153,0.6758,0.05
ethereum,ETH,Ethereum,9/23/2015,3,0.90356,0.90891,0.885136,0.893406,200541,65587499,0.3479,0.02
ethereum,ETH,Ethereum,9/24/2015,3,0.896796,0.908571,0.79346,0.81361,842505,59749888,0.175,0.12
ethereum,ETH,Ethereum,9/25/2015,3,0.820031,0.825665,0.712745,0.736223,903457,54085581,0.2079,0.11
ethereum,ETH,Ethereum,9/26/2015,3,0.73763,0.787544,0.709328,0.785964,369620,57759115,0.9798,0.08
ethereum,ETH,Ethereum,9/27/2015,3,0.791277,0.791277,0.719169,0.720839,413801,52990396,0.0232,0.07
ethereum,ETH,Ethereum,9/28/2015,3,0.723715,0.725677,0.557062,0.582886,1320890,42863006,0.1532,0.17
ethereum,ETH,Ethereum,9/29/2015,3,0.579414,0.67583,0.558346,0.661146,913992,48633259,0.875,0.12
ethereum,ETH,Ethereum,9/30/2015,3,0.661192,0.746722,0.635861,0.738644,619926,54351468,0.9271,0.11
ethereum,ETH,Ethereum,10/1/2015,3,0.734307,0.734307,0.655906,0.690215,596084,50805919,0.4376,0.08
ethereum,ETH,Ethereum,10/2/2015,3,0.683732,0.69112,0.654605,0.678574,219318,49966502,0.6564,0.04
ethereum,ETH,Ethereum,10/3/2015,3,0.678783,0.709204,0.675482,0.687171,163326,50616972,0.3466,0.03
ethereum,ETH,Ethereum,10/4/2015,3,0.686343,0.693126,0.660716,0.668379,103497,49249083,0.2364,0.03
ethereum,ETH,Ethereum,10/5/2015,3,0.666784,0.674438,0.62445,0.628643,234263,46336892,0.0839,0.05
ethereum,ETH,Ethereum,10/6/2015,3,0.622218,0.653944,0.60623,0.650645,262674,47974298,0.9309,0.05
ethereum,ETH,Ethereum,10/7/2015,3,0.650515,0.656301,0.602423,0.609388,218327,44947527,0.1293,0.05
ethereum,ETH,Ethereum,10/8/2015,3,0.609501,0.633138,0.591971,0.621716,310266,45872837,0.7225,0.04
ethereum,ETH,Ethereum,10/9/2015,3,0.655084,0.692296,0.632116,0.650628,386420,48022036,0.3076,0.06
ethereum,ETH,Ethereum,10/10/2015,3,0.641187,0.649022,0.624374,0.627857,141555,46356711,0.1413,0.02
ethereum,ETH,Ethereum,10/11/2015,3,0.627461,0.639506,0.618335,0.634963,102128,46897253,0.7854,0.02
ethereum,ETH,Ethereum,10/12/2015,3,0.634515,0.657789,0.62603,0.62603,109567,46253823,0,0.03
ethereum,ETH,Ethereum,10/13/2015,3,0.627943,0.63024,0.599214,0.607655,303044,44911718,0.2721,0.03
ethereum,ETH,Ethereum,10/14/2015,3,0.61224,0.61224,0.483974,0.522968,971664,38665409,0.304,0.13
ethereum,ETH,Ethereum,10/15/2015,3,0.523278,0.572714,0.51473,0.561878,371022,41556025,0.8131,0.06
ethereum,ETH,Ethereum,10/16/2015,3,0.562593,0.568861,0.522533,0.536495,249891,39691829,0.3014,0.05
ethereum,ETH,Ethereum,10/17/2015,3,0.534117,0.56346,0.526961,0.547178,313860,40496031,0.5539,0.04
ethereum,ETH,Ethereum,10/18/2015,3,0.547913,0.552234,0.512861,0.517734,133690,38329702,0.1238,0.04
ethereum,ETH,Ethereum,10/19/2015,3,0.517621,0.521546,0.480994,0.489014,243742,36215624,0.1978,0.04
ethereum,ETH,Ethereum,10/20/2015,3,0.489629,0.501898,0.431648,0.434829,383921,32213626,0.0453,0.07
ethereum,ETH,Ethereum,10/21/2015,3,0.431589,0.482988,0.420897,0.447329,609085,33150826,0.4257,0.06
ethereum,ETH,Ethereum,10/22/2015,3,0.444988,0.619466,0.420991,0.567702,924822,42085192,0.7392,0.2
ethereum,ETH,Ethereum,10/23/2015,3,0.56637,0.611743,0.504284,0.539657,878822,40020348,0.3292,0.11
ethereum,ETH,Ethereum,10/24/2015,3,0.539681,0.577396,0.518688,0.56359,258356,41809764,0.7648,0.06
ethereum,ETH,Ethereum,10/25/2015,3,0.563207,0.688192,0.561383,0.616039,635384,45716387,0.431,0.13
ethereum,ETH,Ethereum,10/26/2015,3,0.619743,0.757517,0.597098,0.731317,1089120,54289124,0.8367,0.16
ethereum,ETH,Ethereum,10/27/2015,3,0.70889,0.898172,0.70889,0.869641,1846370,64580263,0.8493,0.19
ethereum,ETH,Ethereum,10/28/2015,3,0.870938,1.06,0.807857,1,2373050,74469864,0.762,0.25
ethereum,ETH,Ethereum,10/29/2015,3,1.01,1.21,0.947374,1.21,2279240,89668667,1,0.26
ethereum,ETH,Ethereum,10/30/2015,3,1.21,1.35,0.96816,1.04,2429200,77401817,0.1881,0.38
ethereum,ETH,Ethereum,10/31/2015,3,1.05,1.06,0.900171,0.916627,673892,68163368,0.103,0.16
ethereum,ETH,Ethereum,11/1/2015,3,0.920847,1.08,0.899082,1.06,588913,78530263,0.8895,0.18
ethereum,ETH,Ethereum,11/2/2015,3,1.06,1.1,0.953647,0.989789,1145200,73654327,0.247,0.15
ethereum,ETH,Ethereum,11/3/2015,3,0.994568,1.07,0.936615,1.01,1907690,75434114,0.5502,0.13
ethereum,ETH,Ethereum,11/4/2015,3,1.01,1.04,0.725665,0.89905,3060340,66947930,0.5516,0.31
ethereum,ETH,Ethereum,11/5/2015,3,0.900699,0.991259,0.860382,0.895637,1179840,66716645,0.2694,0.13
ethereum,ETH,Ethereum,11/6/2015,3,0.904772,0.989848,0.852929,0.926032,913666,69004595,0.5339,0.14
ethereum,ETH,Ethereum,11/7/2015,3,0.923732,0.943787,0.863539,0.927974,890187,69172171,0.8029,0.08
ethereum,ETH,Ethereum,11/8/2015,3,0.915661,1.03,0.915661,1.03,1021460,76614488,1,0.11
ethereum,ETH,Ethereum,11/9/2015,3,1.03,1.11,0.945263,0.999278,2045290,74537426,0.3279,0.16
ethereum,ETH,Ethereum,11/10/2015,3,1,1.05,0.920968,0.934348,854581,69717801,0.1037,0.13
ethereum,ETH,Ethereum,11/11/2015,3,0.941296,0.945278,0.729775,0.791829,1278580,59103443,0.2879,0.22
ethereum,ETH,Ethereum,11/12/2015,3,0.796455,0.913919,0.76351,0.895711,806156,66880152,0.8789,0.15
ethereum,ETH,Ethereum,11/13/2015,3,0.907722,0.917309,0.846023,0.904096,543671,67529354,0.8146,0.07
ethereum,ETH,Ethereum,11/14/2015,3,0.905469,0.906113,0.876908,0.888812,372514,66410518,0.4076,0.03
ethereum,ETH,Ethereum,11/15/2015,3,0.891217,0.921516,0.874957,0.906368,411848,67745801,0.6746,0.05
ethereum,ETH,Ethereum,11/16/2015,3,0.906166,0.944732,0.891971,0.928962,620945,69458011,0.7011,0.05
ethereum,ETH,Ethereum,11/17/2015,3,0.924948,1.03,0.905794,1.01,1145440,75392162,0.839,0.12
ethereum,ETH,Ethereum,11/18/2015,3,0.993214,1.01,0.940516,0.993319,681104,74320769,0.7599,0.07
ethereum,ETH,Ethereum,11/19/2015,3,0.988713,1.01,0.937498,0.955532,443528,71517342,0.2487,0.07
ethereum,ETH,Ethereum,11/20/2015,3,0.955735,0.955735,0.898576,0.92492,614335,69247998,0.4609,0.06
ethereum,ETH,Ethereum,11/21/2015,3,0.928758,0.978743,0.92094,0.97614,455976,73107357,0.955,0.06
ethereum,ETH,Ethereum,11/22/2015,3,0.979765,0.984132,0.958982,0.968018,372173,72523507,0.3593,0.03
ethereum,ETH,Ethereum,11/23/2015,3,0.967493,0.969057,0.93387,0.946969,441875,70970606,0.3723,0.04
